Слово,Частота,Процент
х,16,0.002845339778027931
xi,74,0.013159696473379178
xii,82,0.014582366362393144
xiii,73,0.012981862737252435
xiv,74,0.013159696473379178
xv,71,0.012626195264998943
xvi,79,0.014048865154012906
xvii,67,0.01191486032049196
xviii,71,0.012626195264998943
xix,75,0.013337530209505925
xx,45,0.008002518125703555
xxi,42,0.007469016917323318
xxii,32,0.005690679556055862
xxiii,26,0.004623677139295387
xxiv,21,0.003734508458661659
xxv,23,0.00409017593091515
вторая,35,0.006224180764436098
x,82,0.014582366362393144
третья,23,0.00409017593091515
ххіv,2,0.00035566747225349135
xxvi,19,0.0033788409864081675
четвертая,13,0.0023118385696476937
іх,2,0.00035566747225349135
хі,3,0.000533501208380237
пятая,5,0.0008891686806337283
третий,61,0.010847857903731486
xxvii,15,0.002667506041901185
xxviii,14,0.0024896723057744393
xxix,14,0.0024896723057744393
xxx,13,0.0023118385696476937
xxxi,14,0.0024896723057744393
xxxii,14,0.0024896723057744393
xxxiii,14,0.0024896723057744393
xxxiv,14,0.0024896723057744393
xxxv,10,0.0017783373612674565
xxxvi,12,0.002134004833520948
xxxvii,10,0.0017783373612674565
xxxviii,10,0.0017783373612674565
xxxix,9,0.001600503625140711
ххiii,2,0.00035566747225349135
четвертый,17,0.003023173514154676
хvііі,3,0.000533501208380237
эпилог,47,0.008358185597957047
печатные,3,0.000533501208380237
варианты,5,0.0008891686806337283
войны,196,0.034855412280842143
мира,115,0.020450879654575753
обзор,3,0.000533501208380237
содержания,7,0.0012448361528872196
по,2353,0.4184427811062325
главам,4,0.0007113349445069827
1,1233,0.2192689966442774
я,3399,0.6044568690948086
2,656,0.11665893089914516
3,464,0.08251485356280999
4,326,0.05797379797731908
5,223,0.03965692315626428
указатель,4,0.0007113349445069827
собственных,4,0.0007113349445069827
имен,4,0.0007113349445069827
иллюстрации,2,0.00035566747225349135
девятому,4,0.0007113349445069827
четырнадцатому,4,0.0007113349445069827
редакторы,1,0.00017783373612674568
г,3109,0.5528850856180523
а,2104,0.3741621808106729
волков,3,0.000533501208380237
м,110,0.019561710973942024
цявловский,2,0.00035566747225349135
размер,5,0.0008891686806337283
подлинника,6,0.001067002416760474
eh,32,0.005690679556055862
bien,84,0.014938033834646636
mon,194,0.03449974480858866
prince,46,0.0081803518618303
gênes,2,0.00035566747225349135
et,318,0.05655112808830512
lucques,2,0.00035566747225349135
ne,155,0.027564229099645576
sont,34,0.006046347028309352
plus,84,0.014938033834646636
que,287,0.051038282268376006
des,121,0.021517882071336224
apanages,1,0.00017783373612674568
поместья,3,0.000533501208380237
de,685,0.12181610924682078
la,348,0.06188614017210749
famille,5,0.0008891686806337283
buonaparte,11,0.0019561710973942026
non,40,0.007113349445069826
je,280,0.04979344611548878
vous,413,0.07344533302034595
préviens,1,0.00017783373612674568
si,69,0.01227052779274545
me,106,0.01885037602943504
dites,30,0.00533501208380237
pas,167,0.029698233933166524
nous,119,0.021162214599082733
avons,5,0.0008891686806337283
guerre,29,0.0051571783476756245
permettez,2,0.00035566747225349135
encore,18,0.003201007250281422
pallier,1,0.00017783373612674568
toutes,15,0.002667506041901185
infamies,1,0.00017783373612674568
atrocités,1,0.00017783373612674568
cet,23,0.00409017593091515
antichrist,1,0.00017783373612674568
ma,127,0.022584884488096698
parole,13,0.0023118385696476937
j,80,0.014226698890139652
y,49,0.008713853070210536
crois,6,0.001067002416760474
connais,8,0.0014226698890139654
n,124,0.022051383279716463
êtes,30,0.00533501208380237
ami,22,0.003912342194788405
мой,337,0.059929969074713284
верный,6,0.001067002416760474
раб,7,0.0012448361528872196
comme,78,0.013871031417886162
ну,663,0.11790376705203237
здравствуйте,14,0.0024896723057744393
vois,9,0.001600503625140711
fais,4,0.0007113349445069827
peur,9,0.001600503625140711
