Слово,Частота,Процент
пристроив,1,0.00017783373612674568
глазам,11,0.0019561710973942026
лорнет,8,0.0014226698890139654
инструмента,2,0.00035566747225349135
говорить,299,0.05317228710189695
cher,65,0.011559192848238468
пожимая,15,0.002667506041901185
удивленный,4,0.0007113349445069827
рассказчик,3,0.000533501208380237
déteste,1,0.00017783373612674568
histoires,1,0.00017783373612674568
подождите,6,0.001067002416760474
возьму,8,0.0014226698890139654
мою,38,0.006757681972816335
принесите,2,0.00035566747225349135
история,85,0.01511586757077338
привидениях,2,0.00035566747225349135
вовсе,41,0.007291183181196572
терпеть,14,0.0024896723057744393
историй,9,0.001600503625140711
15,169,0.030053901405420018
таким,164,0.02916473272478629
видно,169,0.030053901405420018
слова,455,0.08091434993766927
понял,122,0.021695715807462972
значили,2,0.00035566747225349135
самоуверенности,4,0.0007113349445069827
никто,197,0.035033246016968896
умно,10,0.0017783373612674565
глупо,14,0.0024896723057744393
темнозеленом,1,0.00017783373612674568
цвета,7,0.0012448361528872196
cuisse,1,0.00017783373612674568
nymphe,1,0.00017783373612674568
effrayée,1,0.00017783373612674568
сам,434,0.07717984147900761
vicomte2,1,0.00017783373612674568
рассказал,56,0.009958689223097757
ходившем,2,0.00035566747225349135
анекдоте,2,0.00035566747225349135
тайно,12,0.002134004833520948
ездил,27,0.0048015108754221325
париж,22,0.003912342194788405
свидания,41,0.007291183181196572
llе,16,0.002845339778027931
george,2,0.00035566747225349135
встретился,7,0.0012448361528872196
пользовавшимся,1,0.00017783373612674568
милостями,6,0.001067002416760474
знаменитой,2,0.00035566747225349135
актрисы,3,0.000533501208380237
встретившись,7,0.0012448361528872196
наполеон,342,0.060819137755347016
случайно,17,0.003023173514154676
упал,35,0.006224180764436098
обморок,2,0.00035566747225349135
которому,104,0.01849470855718155
подвержен,1,0.00017783373612674568
власти,90,0.01600503625140711
воспользовался,9,0.001600503625140711
впоследствии,26,0.004623677139295387
великодушие,5,0.0008891686806337283
отмстил,2,0.00035566747225349135
смертью,16,0.002845339778027931
герцогу,5,0.0008891686806337283
мил,14,0.0024896723057744393
месте,105,0.018672542293308295
соперники,2,0.00035566747225349135
узнают,6,0.001067002416760474
друга,176,0.03129873755830724
дамы,30,0.00533501208380237
волнении,9,0.001600503625140711
оглядываясь,78,0.013871031417886162
вопросительно,55,0.009780855486971012
маленькую,23,0.00409017593091515
княгиню,15,0.002667506041901185
прошептала,20,0.003556674722534913
втыкая,2,0.00035566747225349135
иголку,4,0.0007113349445069827
интерес,19,0.0033788409864081675
прелесть,53,0.00942518801471752
мешают,5,0.0008891686806337283
продолжать,21,0.003734508458661659
оценил,6,0.001067002416760474
молчаливую,1,0.00017783373612674568
похвалу,1,0.00017783373612674568
благодарно,6,0.001067002416760474
улыбнувшись,9,0.001600503625140711
поглядывавшая,2,0.00035566747225349135
страшного,17,0.003023173514154676
заметила,32,0.005690679556055862
горячо,12,0.002134004833520948
громко,67,0.01191486032049196
аббатом,3,0.000533501208380237
поспешила,3,0.000533501208380237
опасному,2,0.00035566747225349135
пьеру,253,0.04499193524006665
удалось,16,0.002845339778027931
завязать,1,0.00017783373612674568
политическом,2,0.00035566747225349135
равновесии,3,0.000533501208380237
заинтересованный,2,0.00035566747225349135
простодушною,2,0.00035566747225349135
развивал,2,0.00035566747225349135
любимую,12,0.002134004833520948
идею,1,0.00017783373612674568
оживленно,22,0.003912342194788405
естественно,23,0.00409017593091515
слушали,17,0.003023173514154676
понравилось,7,0.0012448361528872196
средство,14,0.0024896723057744393
европейское,4,0.0007113349445069827
равновесие,7,0.0012448361528872196
droit,12,0.002134004833520948
gens,7,0.0012448361528872196
стоит,46,0.0081803518618303
могущественному,1,0.00017783373612674568
государству,1,0.00017783373612674568
испуганной,3,0.000533501208380237
нимфы,1,0.00017783373612674568
актрисой,1,0.00017783373612674568
жорж,17,0.003023173514154676
прелестно,12,0.002134004833520948
народное,3,0.000533501208380237
16,117,0.02080654712682924
прославленному,1,0.00017783373612674568
варварство,2,0.00035566747225349135
стать,9,0.001600503625140711
бескорыстно,3,0.000533501208380237
главе,25,0.004445843403168641
союза,8,0.0014226698890139654
имеющего,9,0.001600503625140711
оно,134,0.02382972064098392
найдете,7,0.0012448361528872196
такое,185,0.03289924118344795
начал,131,0.023296219432603682
строго,67,0.01191486032049196
взглянув,45,0.008002518125703555
спросила,84,0.014938033834646636
итальянца,8,0.0014226698890139654
переносит,3,0.000533501208380237
здешний,2,0.00035566747225349135
климат,1,0.00017783373612674568
изменилось,14,0.0024896723057744393
оскорбительно,8,0.0014226698890139654
притворное,4,0.0007113349445069827
сладкое,5,0.0008891686806337283
привычно,6,0.001067002416760474
женщинами,10,0.0017783373612674565
очарован,1,0.00017783373612674568
прелестями,1,0.00017783373612674568
ума,58,0.010314356695351249
образования,3,0.000533501208380237
особенности,117,0.02080654712682924
женского,5,0.0008891686806337283
имел,128,0.022762718224223447
счастье,56,0.009958689223097757
успел,71,0.012626195264998943
подумать,18,0.003201007250281422
климате,2,0.00035566747225349135
выпуская,9,0.001600503625140711
удобства,4,0.0007113349445069827
наблюдения,24,0.004268009667041896
присоединила,2,0.00035566747225349135
общему,18,0.003201007250281422
вошло,6,0.001067002416760474
андрей,926,0.1646740396533665
небольшого,5,0.0008891686806337283
роста,11,0.0019561710973942026
красивый,29,0.0051571783476756245
определенными,3,0.000533501208380237
сухими,7,0.0012448361528872196
фигуре,12,0.002134004833520948
начиная,35,0.006224180764436098
усталого,4,0.0007113349445069827
скучающего,2,0.00035566747225349135
взгляда,39,0.006935515708943081
до,770,0.13693197681759417
тихого,4,0.0007113349445069827
мерного,1,0.00017783373612674568
шага,10,0.0017783373612674565
представляло,5,0.0008891686806337283
самую,34,0.006046347028309352
резкую,3,0.000533501208380237
противоположность,7,0.0012448361528872196
маленькою,18,0.003201007250281422
оживленною,3,0.000533501208380237
женой,35,0.006224180764436098
бывшие,21,0.003734508458661659
надоели,3,0.000533501208380237
них,317,0.056373294352178374
скучно,24,0.004268009667041896
прискучивших,2,0.00035566747225349135
хорошенькой,6,0.001067002416760474
жены,76,0.01351536394563267
надоело,3,0.000533501208380237
гримасой,2,0.00035566747225349135
портившею,2,0.00035566747225349135
красивое,16,0.002845339778027931
отвернулся,55,0.009780855486971012
щурясь,7,0.0012448361528872196
оглядел,7,0.0012448361528872196
enrôlez,1,0.00017783373612674568
général,31,0.005512845819929116
koutouzoff,6,0.001067002416760474
ударяя,19,0.0033788409864081675
последнем,18,0.003201007250281422
слоге,4,0.0007113349445069827
zoff,1,0.00017783373612674568
француз,84,0.014938033834646636
voulu,4,0.0007113349445069827
aide,4,0.0007113349445069827
camp,6,0.001067002416760474
поедет,8,0.0014226698890139654
деревню,43,0.007646850653450063
грех,16,0.002845339778027931
лишать,2,0.00035566747225349135
прелестной,8,0.0014226698890139654
andré,34,0.006046347028309352
жена,51,0.009069520542464028
мужу,21,0.003734508458661659
собираетесь,1,0.00017783373612674568
войну,51,0.009069520542464028
кутузову,74,0.013159696473379178
адъютанты,28,0.0049793446115488785
17,120,0.02134004833520948
кокетливым,1,0.00017783373612674568
каким,107,0.019028209765561785
обращалась,7,0.0012448361528872196
посторонним,3,0.000533501208380237
какую,34,0.006046347028309352
историю,36,0.006402014500562844
зажмурился,6,0.001067002416760474
входа,9,0.001600503625140711
андрея,273,0.04854860996260157
спускавший,2,0.00035566747225349135
радостных,4,0.0007113349445069827
дружелюбных,1,0.00017783373612674568
глаз,134,0.02382972064098392
нему,312,0.05548412567154465
сморщил,3,0.000533501208380237
выражавшую,2,0.00035566747225349135
досаду,6,0.001067002416760474
трогает,2,0.00035566747225349135
увидав,105,0.018672542293308295
улыбающееся,3,0.000533501208380237
доброю,13,0.0023118385696476937
приятною,17,0.003023173514154676
ты,921,0.16378487097273275
большом,21,0.003734508458661659
приеду,4,0.0007113349445069827
ужинать,12,0.002134004833520948
мешать,10,0.0017783373612674565
виконту,5,0.0008891686806337283
нельзя,245,0.04356926535105269
смеясь,53,0.00942518801471752
пожатием,2,0.00035566747225349135
давая,32,0.005690679556055862
спрашивать,35,0.006224180764436098
поднялся,31,0.005512845819929116
дочерью,23,0.00409017593091515
мужчины,31,0.005512845819929116
встали,18,0.003201007250281422
дать,109,0.01938387723781528
дорогу,101,0.01796120734880131
извините,18,0.003201007250281422
французу,9,0.001600503625140711
притягивая,1,0.00017783373612674568
рукав,10,0.0017783373612674565
вниз,55,0.009780855486971012
стулу,4,0.0007113349445069827
вставал,6,0.001067002416760474
несчастный,6,0.001067002416760474
лишает,2,0.00035566747225349135
удовольствия,36,0.006402014500562844
прерывает,1,0.00017783373612674568
грустно,45,0.008002518125703555
покидать,2,0.00035566747225349135
восхитительный,1,0.00017783373612674568
придерживая,9,0.001600503625140711
пошла,58,0.010314356695351249
стульев,6,0.001067002416760474
сияла,5,0.0008891686806337283
светлее,19,0.0033788409864081675
прекрасном,4,0.0007113349445069827
смотрел,204,0.03627808216985611
испуганными,17,0.003023173514154676
восторженными,7,0.0012448361528872196
красавицу,5,0.0008891686806337283
проходила,5,0.0008891686806337283
мимо,127,0.022584884488096698
проходя,23,0.00409017593091515
схватил,21,0.003734508458661659
обратился,178,0.031654405030560724
образуйте,1,0.00017783373612674568
медведя,12,0.002134004833520948
месяц,28,0.0049793446115488785
ничто,34,0.006046347028309352
молодому,17,0.003023173514154676
умных,6,0.001067002416760474
обещалась,3,0.000533501208380237
заняться,11,0.0019561710973942026
пьером,54,0.009603021750844265
знала,120,0.02134004833520948
приходился,1,0.00017783373612674568
родня,3,0.000533501208380237
отцу,49,0.008713853070210536
василью,11,0.0019561710973942026
18,129,0.022940551960350188
сидевшая,8,0.0014226698890139654
встала,36,0.006402014500562844
догнала,2,0.00035566747225349135
василья,29,0.0051571783476756245
передней,34,0.006046347028309352
исчезла,9,0.001600503625140711
прежняя,10,0.0017783373612674565
притворность,1,0.00017783373612674568
интереса,6,0.001067002416760474
доброе,18,0.003201007250281422
исплаканное,1,0.00017783373612674568
моем,16,0.002845339778027931
борисе,7,0.0012448361528872196
догоняя,3,0.000533501208380237
выговаривала,3,0.000533501208380237
имя,39,0.006935515708943081
борис,227,0.040368258100771263
особенным,30,0.00533501208380237
ударением,4,0.0007113349445069827
дольше,10,0.0017783373612674565
какие,98,0.017427706140421072
известия,35,0.006224180764436098
привезти,8,0.0014226698890139654
моему,26,0.004623677139295387
бедному,1,0.00017783373612674568
мальчику,4,0.0007113349445069827
неохотно,23,0.00409017593091515
неучтиво,6,0.001067002416760474
слушал,78,0.013871031417886162
пожилую,1,0.00017783373612674568
даму,15,0.002667506041901185
выказывал,12,0.002134004833520948
нетерпение,5,0.0008891686806337283
трогательно,6,0.001067002416760474
взяла,37,0.006579848236689589
переведен,4,0.0007113349445069827
гвардию,17,0.003023173514154676
просила,32,0.005690679556055862
поверьте,8,0.0014226698890139654
сделаю,33,0.005868513292182607
трудно,64,0.011381359112111723
просить,52,0.009247354278590775
государя,213,0.037878585794996825
советовал,7,0.0012448361528872196
румянцеву,3,0.000533501208380237
голицына,6,0.001067002416760474
умнее,7,0.0012448361528872196
носила,3,0.000533501208380237
друбецкой,19,0.0033788409864081675
одной,159,0.02827556404415256
бедна,4,0.0007113349445069827
вышла,93,0.016538537459787346
света,39,0.006935515708943081
утратила,2,0.00035566747225349135
прежние,33,0.005868513292182607
связи,38,0.006757681972816335
выхлопотать,1,0.00017783373612674568
определение,6,0.001067002416760474
единственному,2,0.00035566747225349135
сыну,37,0.006579848236689589
затем,41,0.007291183181196572
увидеть,6,0.001067002416760474
назвалась,1,0.00017783373612674568
слушала,24,0.004268009667041896
испугалась,4,0.0007113349445069827
выразило,8,0.0014226698890139654
озлобление,10,0.0017783373612674565
продолжалось,18,0.003201007250281422
минуту,279,0.04961561237936204
крепче,8,0.0014226698890139654
схватилась,2,0.00035566747225349135
напоминала,6,0.001067002416760474
дружбе,9,0.001600503625140711
отца,181,0.03218790623894096
богом,19,0.0033788409864081675
заклинаю,1,0.00017783373612674568
сделайте,11,0.0019561710973942026
считать,12,0.002134004833520948
благодетелем,2,0.00035566747225349135
сердитесь,5,0.0008891686806337283
обещайте,4,0.0007113349445069827
отказал,2,0.00035566747225349135
bon,15,0.002667506041901185
enfant,15,0.002667506041901185
стараясь,88,0.01564936877915362
улыбаться,12,0.002134004833520948
глазах,87,0.015471535043026872
слезы,96,0.017072038668167585
добрым,16,0.002845339778027931
бывали,17,0.003023173514154676
19,107,0.019028209765561785
папа,24,0.004268009667041896
опоздаем,3,0.000533501208380237
повернув,9,0.001600503625140711
античных,1,0.00017783373612674568
плечах,6,0.001067002416760474
ожидавшая,2,0.00035566747225349135
двери,183,0.03254357371119446
влияние,19,0.0033788409864081675
капитал,1,0.00017783373612674568
беречь,4,0.0007113349445069827
исчез,7,0.0012448361528872196
сообразив,3,0.000533501208380237
просит,26,0.004623677139295387
редко,38,0.006757681972816335
употреблял,12,0.002134004833520948
деле,79,0.014048865154012906
почувствовал,85,0.01511586757077338
нового,39,0.006935515708943081
призыва,2,0.00035566747225349135
роде,16,0.002845339778027931
укора,2,0.00035566747225349135
совести,14,0.0024896723057744393
напомнила,1,0.00017783373612674568
правду,33,0.005868513292182607
первыми,7,0.0012448361528872196
шагами,65,0.011559192848238468
своими,162,0.028809065252532795
службе,37,0.006579848236689589
обязан,19,0.0033788409864081675
приемам,2,0.00035566747225349135
матерей,1,0.00017783373612674568
однажды,18,0.003201007250281422
отстанут,1,0.00017783373612674568
пока,119,0.021162214599082733
исполнят,1,0.00017783373612674568
желания,36,0.006402014500562844
противном,8,0.0014226698890139654
случае,73,0.012981862737252435
ежедневные,2,0.00035566747225349135
ежеминутные,1,0.00017783373612674568
приставания,1,0.00017783373612674568
сцены,6,0.001067002416760474
последнее,88,0.01564936877915362
соображение,3,0.000533501208380237
поколебало,1,0.00017783373612674568
михайловна,115,0.020450879654575753
всегдашнею,3,0.000533501208380237
фамильярностью,3,0.000533501208380237
скукой,1,0.00017783373612674568
голосе,18,0.003201007250281422
невозможно,73,0.012981862737252435
сделать,205,0.03645591590598286
доказать,21,0.003734508458661659
чту,1,0.00017783373612674568
память,3,0.000533501208380237
покойного,10,0.0017783373612674565
невозможное,5,0.0008891686806337283
моя,118,0.02098438086295599
рука,45,0.008002518125703555
довольны,9,0.001600503625140711
иного,1,0.00017783373612674568
добры,10,0.0017783373612674565
fois,15,0.002667506041901185
passé,4,0.0007113349445069827
gardes,2,0.00035566747225349135
замялась,2,0.00035566747225349135
хороши,17,0.003023173514154676
михаилом,3,0.000533501208380237
иларионовичем,1,0.00017783373612674568
кутузовым,31,0.005512845819929116
рекомендуйте,1,0.00017783373612674568
бориса,77,0.013693197681759417
покойна,6,0.001067002416760474
обещаю,6,0.001067002416760474
осаждают,1,0.00017783373612674568
назначен,22,0.003912342194788405
главнокомандующим,27,0.0048015108754221325
московские,9,0.001600503625140711
барыни,10,0.0017783373612674565
сговорились,2,0.00035566747225349135
отдать,35,0.006224180764436098
пущу,5,0.0008891686806337283
повторила,22,0.003912342194788405
au,61,0.010847857903731486
revoir,6,0.001067002416760474
прощайте,25,0.004445843403168641
переведут,2,0.00035566747225349135
свиданья,11,0.0019561710973942026
20,137,0.024363221849364156
завтра,122,0.021695715807462972
доложите,2,0.00035566747225349135
непременно,53,0.00942518801471752
нeт,1,0.00017783373612674568
basile,9,0.001600503625140711
кокетки,1,0.00017783373612674568
должно,166,0.02952040019703978
свойственна,2,0.00035566747225349135
истощенному,1,0.00017783373612674568
лицу,40,0.007113349445069826
забыла,10,0.0017783373612674565
годы,10,0.0017783373612674565
пускала,1,0.00017783373612674568
старинные,1,0.00017783373612674568
женские,13,0.0023118385696476937
средства,20,0.003556674722534913
вышел,221,0.03930125568401079
холодное,8,0.0014226698890139654
вернулась,14,0.0024896723057744393
вид,95,0.016894204932040836
слушает,8,0.0014226698890139654
уехать,27,0.0048015108754221325
сделано,37,0.006579848236689589
находите,2,0.00035566747225349135
последнюю,18,0.003201007250281422
комедию,2,0.00035566747225349135
sacre,1,0.00017783373612674568
milan,1,0.00017783373612674568
nouvelle,9,0.001600503625140711
comédie,1,0.00017783373612674568
peuples,4,0.0007113349445069827
qui,126,0.022407050751969953
viennent,2,0.00035566747225349135
présenter,1,0.00017783373612674568
leurs,4,0.0007113349445069827
voeux,2,0.00035566747225349135
assis,1,0.00017783373612674568
sur,33,0.005868513292182607
trône,3,0.000533501208380237
exauçant,1,0.00017783373612674568
nations,2,0.00035566747225349135
adorable,3,0.000533501208380237
folle,1,0.00017783373612674568
dirait,3,0.000533501208380237
entier,1,0.00017783373612674568
perdu,6,0.001067002416760474
tête,11,0.0019561710973942026
усмехнулся,14,0.0024896723057744393
donne,7,0.0012448361528872196
gare,1,0.00017783373612674568
touche,1,0.00017783373612674568
сказанные,14,0.0024896723057744393
возложении,1,0.00017783373612674568
короны,3,0.000533501208380237
très,49,0.008713853070210536
beau,20,0.003556674722534913
prononçant,1,0.00017783373612674568
paroles,1,0.00017783373612674568
повторил,96,0.017072038668167585
итальянски,1,0.00017783373612674568
dio,1,0.00017783373612674568
mi,1,0.00017783373612674568
dona,1,0.00017783373612674568
guai,1,0.00017783373612674568
chi,2,0.00035566747225349135
tocca,2,0.00035566747225349135
espère,4,0.0007113349445069827
enfin,6,0.001067002416760474
ça,34,0.006046347028309352
goutte,1,0.00017783373612674568
eau,1,0.00017783373612674568
fera,14,0.0024896723057744393
déborder,1,0.00017783373612674568
verre,2,0.00035566747225349135
souverains,6,0.001067002416760474
peuvent,3,0.000533501208380237
supporter,2,0.00035566747225349135
menace,1,0.00017783373612674568
parle,9,0.001600503625140711
russie,10,0.0017783373612674565
базиль,1,0.00017783373612674568
коронации,2,0.00035566747225349135
милане,1,0.00017783373612674568
новая,44,0.00782468438957681
комедия,2,0.00035566747225349135
народы,15,0.002667506041901185
генуи,1,0.00017783373612674568
лукки,1,0.00017783373612674568
изъявляют,1,0.00017783373612674568
господину,6,0.001067002416760474
господин,37,0.006579848236689589
сидит,22,0.003912342194788405
троне,1,0.00017783373612674568
исполняет,4,0.0007113349445069827
народов,55,0.009780855486971012
восхитительно,2,0.00035566747225349135
сойти,2,0.00035566747225349135
подумаешь,3,0.000533501208380237
потерял,23,0.00409017593091515
дал,65,0.011559192848238468
корону,1,0.00017783373612674568
горе,71,0.012626195264998943
тронет,3,0.000533501208380237
произнося,5,0.0008891686806337283
та,147,0.02614155921063161
капля,3,0.000533501208380237
переполнит,1,0.00017783373612674568
стакан,27,0.0048015108754221325
государи,10,0.0017783373612674565
угрожает,3,0.000533501208380237
всему,67,0.01191486032049196
21,120,0.02134004833520948
безнадежно,5,0.0008891686806337283
ils,26,0.004623677139295387
reine,4,0.0007113349445069827
elisabeth,2,0.00035566747225349135
одушевляясь,5,0.0008891686806337283
croyez,3,0.000533501208380237
subissent,1,0.00017783373612674568
punition,1,0.00017783373612674568
leur,19,0.0033788409864081675
trahison,3,0.000533501208380237
cause,6,0.001067002416760474
bourbons,3,0.000533501208380237
envoient,1,0.00017783373612674568
ambassadeurs,1,0.00017783373612674568
complimenter,1,0.00017783373612674568
usurpateur,2,0.00035566747225349135
презрительно,33,0.005868513292182607
вздохнув,17,0.003023173514154676
переменил,4,0.0007113349445069827
долго,181,0.03218790623894096
смотревший,7,0.0012448361528872196
словах,32,0.005690679556055862
повернулся,26,0.004623677139295387
телом,31,0.005512845819929116
показывать,7,0.0012448361528872196
рисуя,1,0.00017783373612674568
иголкой,1,0.00017783373612674568
герб,3,0.000533501208380237
конде,10,0.0017783373612674565
растолковывал,1,0.00017783373612674568
значительным,14,0.0024896723057744393
видом,103,0.018316874821054804
bâton,2,0.00035566747225349135
gueules,3,0.000533501208380237
engrêlé,1,0.00017783373612674568
azur,1,0.00017783373612674568
maison,9,0.001600503625140711
condé,2,0.00035566747225349135
останется,19,0.0033788409864081675
престоле,3,0.000533501208380237
начатый,7,0.0012448361528872196
слушающего,2,0.00035566747225349135
известном,2,0.00035566747225349135
следящего,1,0.00017783373612674568
ходом,10,0.0017783373612674565
дела,159,0.02827556404415256
пойдут,5,0.0008891686806337283
далеко,76,0.01351536394563267
интригой,1,0.00017783373612674568
насилием,1,0.00017783373612674568
изгнаниями,1,0.00017783373612674568
казнями,1,0.00017783373612674568
разумею,1,0.00017783373612674568
хорошее,24,0.004268009667041896
французское,22,0.003912342194788405
уничтожено,6,0.001067002416760474
развел,6,0.001067002416760474
интересовал,5,0.0008891686806337283
караулившая,2,0.00035566747225349135
перебила,19,0.0033788409864081675
император,121,0.021517882071336224
александр,91,0.016182869987533856
сопутствовавшею,1,0.00017783373612674568
речам,4,0.0007113349445069827
императорской,3,0.000533501208380237
объявил,21,0.003734508458661659
предоставит,1,0.00017783373612674568
самим,29,0.0051571783476756245
французам,35,0.006224180764436098
выбрать,10,0.0017783373612674565
образ,35,0.006224180764436098
правления,10,0.0017783373612674565
сомнения,34,0.006046347028309352
нация,3,0.000533501208380237
освободившись,2,0.00035566747225349135
узурпатора,1,0.00017783373612674568
бросится,1,0.00017783373612674568
законного,2,0.00035566747225349135
любезной,3,0.000533501208380237
эмигрантом,1,0.00017783373612674568
роялистом,1,0.00017783373612674568
сомнительно,5,0.0008891686806337283
vicomte3,1,0.00017783373612674568
совершенно,217,0.038589920739503805
справедливо,22,0.003912342194788405
полагает,3,0.000533501208380237
зашли,3,0.000533501208380237
сделали,56,0.009958689223097757
людовика,12,0.002134004833520948
королевы,3,0.000533501208380237
елизаветы,1,0.00017783373612674568
несут,6,0.001067002416760474
наказание,4,0.0007113349445069827
измену,4,0.0007113349445069827
делу,27,0.0048015108754221325
бурбонов,10,0.0017783373612674565
шлют,1,0.00017783373612674568
послов,2,0.00035566747225349135
приветствовать,1,0.00017783373612674568
похитителя,1,0.00017783373612674568
престола,7,0.0012448361528872196
палка,3,0.000533501208380237
пастей,2,0.00035566747225349135
оплетенная,2,0.00035566747225349135
лазоревыми,2,0.00035566747225349135
пастями,2,0.00035566747225349135
дом,119,0.021162214599082733
22,140,0.02489672305774439
возвратиться,11,0.0019561710973942026
старому,34,0.006046347028309352
сколько,133,0.023651886904857172
краснея,43,0.007646850653450063
вмешался,9,0.001600503625140711
дворянство,8,0.0014226698890139654
перешло,9,0.001600503625140711
бонапартисты,1,0.00017783373612674568
узнать,40,0.007113349445069826
общественное,5,0.0008891686806337283
мнение,52,0.009247354278590775
bonaparte,6,0.001067002416760474
усмешкой,6,0.001067002416760474
нравился,9,0.001600503625140711
обращал,12,0.002134004833520948
montré,1,0.00017783373612674568
chemin,6,0.001067002416760474
gloire,4,0.0007113349445069827
недолгого,1,0.00017783373612674568
повторяя,15,0.002667506041901185
наполеона,261,0.04641460512908062
ouvert,2,0.00035566747225349135
antichambres,1,0.00017783373612674568
précipités,1,0.00017783373612674568
foule,1,0.00017783373612674568
sais,11,0.0019561710973942026
quel,15,0.002667506041901185
point,12,0.002134004833520948
eu,10,0.0017783373612674565
dire,19,0.0033788409864081675
aucun,5,0.0008891686806337283
возразил,6,0.001067002416760474
убийства,12,0.002134004833520948
пристрастные,1,0.00017783373612674568
перестали,4,0.0007113349445069827
героя,19,0.0033788409864081675
même,25,0.004445843403168641
héros,4,0.0007113349445069827
certaines,2,0.00035566747225349135
depuis,11,0.0019561710973942026
assassinat,3,0.000533501208380237
duc,8,0.0014226698890139654
martyr,1,0.00017783373612674568
ciel,2,0.00035566747225349135
moins,11,0.0019561710973942026
terre,3,0.000533501208380237
успели,11,0.0019561710973942026
оценить,5,0.0008891686806337283
ворвался,4,0.0007113349445069827
предчувствовавшая,1,0.00017783373612674568
скажет,45,0.008002518125703555
неприличное,2,0.00035566747225349135
остановить,26,0.004623677139295387
казнь,4,0.0007113349445069827
государственная,2,0.00035566747225349135
необходимость,46,0.0081803518618303
именно,108,0.01920604350168853
величие,13,0.0023118385696476937
побоялся,2,0.00035566747225349135
принять,50,0.008891686806337283
ответственность,18,0.003201007250281422
поступке,11,0.0019561710973942026
страшным,15,0.002667506041901185
шопотом,78,0.013871031417886162
trouvez,2,0.00035566747225349135
бонапарт,19,0.0033788409864081675
путь,25,0.004445843403168641
славы,21,0.003734508458661659
хотели,42,0.007469016917323318
открыл,31,0.005512845819929116
передние,7,0.0012448361528872196
бросились,12,0.002134004833520948
толпой,21,0.003734508458661659
какой,167,0.029698233933166524
степени,56,0.009958689223097757
никакого,73,0.012981862737252435
героем,10,0.0017783373612674565
некоторых,24,0.004268009667041896
убиения,2,0.00035566747225349135
мучеником,3,0.000533501208380237
небесах,6,0.001067002416760474
меньше,48,0.008536019334083792
земле,35,0.006224180764436098
23,130,0.023118385696476937
grandeur,3,0.000533501208380237
âme,7,0.0012448361528872196
придвигая,2,0.00035566747225349135
oh,23,0.00409017593091515
разные,18,0.003201007250281422
capital,1,0.00017783373612674568
английски,4,0.0007113349445069827
принялся,11,0.0019561710973942026
бить,15,0.002667506041901185
ладонью,2,0.00035566747225349135
коленке,1,0.00017783373612674568
торжественно,28,0.0049793446115488785
посмотрел,108,0.01920604350168853
сверх,16,0.002845339778027931
очков,5,0.0008891686806337283
слушателей,12,0.002134004833520948
отчаянностью,2,0.00035566747225349135
бурбоны,4,0.0007113349445069827
бежали,39,0.006935515708943081
предоставив,1,0.00017783373612674568
народ,97,0.01724987240429433
анархии,1,0.00017783373612674568
умел,35,0.006224180764436098
революцию,4,0.0007113349445069827
победить,7,0.0012448361528872196
общего,31,0.005512845819929116
остановиться,34,0.006046347028309352
жизнью,44,0.00782468438957681
перейти,21,0.003734508458661659
столу,57,0.010136522959224502
отвечая,70,0.012448361528872196
речь,41,0.007291183181196572
велик,14,0.0024896723057744393
выше,61,0.010847857903731486
подавил,3,0.000533501208380237
злоупотребления,2,0.00035566747225349135
удержав,3,0.000533501208380237
равенство,8,0.0014226698890139654
граждан,4,0.0007113349445069827
свободу,24,0.004268009667041896
печати,4,0.0007113349445069827
приобрел,8,0.0014226698890139654
власть,108,0.01920604350168853
пользуясь,15,0.002667506041901185
ею,58,0.010314356695351249
отдал,34,0.006046347028309352
законному,4,0.0007113349445069827
королю,7,0.0012448361528872196
назвал,14,0.0024896723057744393
великим,14,0.0024896723057744393
человеком,66,0.011737026584365214
избавил,1,0.00017783373612674568
великого,41,0.007291183181196572
революция,5,0.0008891686806337283
великое,11,0.0019561710973942026
мсье,13,0.0023118385696476937
отчаянным,12,0.002134004833520948
вызывающим,4,0.0007113349445069827
вводным,1,0.00017783373612674568
предложением,8,0.0014226698890139654
великую,8,0.0014226698890139654
молодость,12,0.002134004833520948
желание,65,0.011559192848238468
поскорее,39,0.006935515708943081
цареубийство,2,0.00035566747225349135
contrat,6,0.001067002416760474
social,4,0.0007113349445069827
кроткою,15,0.002667506041901185
идеи,11,0.0019561710973942026
грабежа,10,0.0017783373612674565
цареубийства,1,0.00017783373612674568
перебил,59,0.010492190431477994
иронический,1,0.00017783373612674568
голос,247,0.04392493282330618
крайности,5,0.0008891686806337283
разумеется,32,0.005690679556055862
значение,82,0.014582366362393144
правах,4,0.0007113349445069827
эманципации,1,0.00017783373612674568
предрассудков,2,0.00035566747225349135
убийстве,4,0.0007113349445069827
превосходно,4,0.0007113349445069827
общественный,6,0.001067002416760474
договор,5,0.0008891686806337283
руссо,7,0.0012448361528872196
24,140,0.02489672305774439
равенстве,3,0.000533501208380237
удержал,5,0.0008891686806337283
всей,114,0.020273045918449004
силе,25,0.004445843403168641
свобода,26,0.004623677139295387
решившийся,1,0.00017783373612674568
этому,140,0.02489672305774439
юноше,1,0.00017783373612674568
глупость,13,0.0023118385696476937
речей,11,0.0019561710973942026
громкие,6,0.001067002416760474
компрометировались,1,0.00017783373612674568
любит,50,0.008891686806337283
свободы,74,0.013159696473379178
равенства,4,0.0007113349445069827
